FID;Longitude;Latitude;wkd_day_value;wnd_day_value;wkd_night_value;wnd_night_value;mean_value_NO2;radiation;nightlight_450;nightlight_4950;nightlight_3150;nightlight_900;elevation;industry_1000;industry_100;industry_25;industry_3000;industry_300;industry_5000;industry_500;industry_50;population_1000;population_3000;population_5000;road_class_1_1000;road_class_1_100;road_class_1_25;road_class_1_3000;road_class_1_300;road_class_1_5000;road_class_1_500;road_class_1_50;road_class_2_1000;road_class_2_100;road_class_2_25;road_class_2_3000;road_class_2_300;road_class_2_5000;road_class_2_500;road_class_2_50;road_class_3_1000;road_class_3_100;road_class_3_25;road_class_3_3000;road_class_3_300;road_class_3_5000;road_class_3_500;road_class_3_50;temperature_2m_10;temperature_2m_11;temperature_2m_12;temperature_2m_1;temperature_2m_2;temperature_2m_3;temperature_2m_4;temperature_2m_5;temperature_2m_6;temperature_2m_7;temperature_2m_8;temperature_2m_9;TROP_2018;wind_speed_10m_10;wind_speed_10m_11;wind_speed_10m_12;wind_speed_10m_1;wind_speed_10m_2;wind_speed_10m_3;wind_speed_10m_4;wind_speed_10m_5;wind_speed_10m_6;wind_speed_10m_7;wind_speed_10m_8;wind_speed_10m_9;trop_mean_filt_2019
0;10.008293;48.397079;30.71195652;24.26338776;30.43848558;28.94747619;29.25049983;3.192437;22.585377;8.363607;13.402575;21.461321;473.936554;330625;0;0;4466250;39375;6101250;92500;0;8123.319336;54316.64453;95795.42188;0;0;0;25200.30273;0;49436.99219;0;0;0;0;0;7335.407715;0;28671.41016;0;0;31902.11328;313.874695;67.135361;203502.4219;4167.064941;373058.6875;8838.760742;180.451675;10.528473;3.994838;0.855892;-4.079916;2.809515;6.935457;7.397969;13.671423;18.533785;18.813995;18.982145;12.485922;365.725586;2.585911;2.669442;2.989511;2.531975;2.521507;2.995023;2.301084;1.968707;2.190526;2.260399;1.821999;1.986542;5.82E-05
1;10.021227;53.523262;36.08154806;24.6580599;32.50637438;26.04903457;32.09893625;2.766697;23.546194;24.685654;22.862799;23.769573;6.617548;936250;0;0;6596250;19375;16483125;131875;0;9558.207031;76786.28125;215604.75;11369.98047;0;0;34764.07031;1696.450439;62711.52344;2980.910156;0;0;0;0;8974.225586;0;47182.19922;0;0;14582.22754;440.061707;0;99596.04688;1850.278076;313205.7188;5933.034668;58.030884;12.299079;6.153886;3.775151;0.131844;2.82556;6.828553;7.554647;13.972361;17.087158;17.23823;17.520105;13.991841;470.292419;3.86985;3.246683;3.802317;2.791856;3.617435;3.091028;3.455901;2.932038;3.27358;2.649281;2.828152;2.77797;8.09E-05
2;10.053859;53.592301;74.56284325;51.86378231;42.89877413;32.60059524;58.70374395;2.750459;18.29014;15.945211;16.493486;18.070522;18.593605;2500;0;0;343125;0;1212500;0;0;10471.54102;88439.60938;222648.4063;0;0;0;0;0;11057.72949;0;0;5136.330566;270.224976;46.359188;30608.84375;1437.363037;84130.39844;2333.146484;108.745453;34317.21094;157.915741;10.258605;265563.7188;2016.838379;646760.625;6662.844727;52.477299;12.236689;6.117405;3.744394;0.196013;2.759445;6.723662;7.453573;13.866946;16.986099;17.125896;17.437189;13.936767;457.47995;3.886321;3.264446;3.828975;2.811795;3.632486;3.095585;3.479126;2.962678;3.304003;2.66049;2.845692;2.803313;7.60E-05
3;10.081685;53.52902;26.52355143;16.09580952;27.55148649;20.9293087;24.2492763;2.763114;23.645823;15.955007;18.248226;23.70048;6.414716;2310625;26250;3125;7480000;202500;12168125;645000;8125;11165.94531;76961;185735.3125;0;0;0;30830.10938;0;84649.88281;0;0;3274.291504;0;0;10970.24219;360.046448;43145.62891;1070.490845;0;5462.023438;0;0;97921.5625;478.363281;335725.4688;1218.836426;0;12.291795;6.15779;3.780677;0.151163;2.806958;6.828012;7.541582;13.961545;17.076553;17.226942;17.526148;13.988644;449.37674;3.872474;3.254827;3.813373;2.795249;3.612747;3.088789;3.455786;2.933839;3.278978;2.649732;2.834826;2.784097;7.44E-05
4;10.096292;48.847917;20.84728443;14.9668956;22.12134945;19.60362954;19.91211586;3.156638;14.026642;2.950591;5.514785;12.241304;425.482941;130625;0;0;1336250;0;2156875;0;0;6017.51123;30814.58984;45546.56641;0;0;0;0;0;0;0;0;0;0;0;13610.71973;0;27684.44922;0;0;26897.01367;266.764557;0;176265.6875;3338.221191;278326.3438;8147.51123;1.983828;10.17288;3.802459;0.70022;-5.337095;2.631475;6.593236;6.84873;13.228516;18.228699;18.420507;18.483044;12.072542;315.416809;2.684475;2.59126;2.986286;2.621415;2.644443;3.022199;2.41509;2.08048;2.410803;2.382735;1.981417;1.993214;4.68E-05
5;10.1056;54.34761;14.52629989;10.29081186;12.37821092;9.974674157;12.77460235;2.782207;10.782382;9.131347;9.647435;10.399123;25.375525;68125;0;0;1281875;0;2888125;0;0;5727.92041;55458.4375;110229.75;7493.876953;0;0;29897.34766;0;61925.52344;0;0;0;0;0;0;0;0;0;0;18192.58203;512.744568;0;189140.375;2354.683838;351467.2188;5158.918945;7.785707;12.005487;6.109425;3.84181;0.778515;2.425786;5.975946;7.080924;13.058936;16.190845;16.514624;16.929386;13.910538;314.068878;4.607094;3.904924;4.720825;3.513227;4.399966;3.795672;4.17104;3.83249;4.0899;3.276434;3.572206;3.497412;4.54E-05
6;10.110595;53.63074;18.05361726;13.92568707;16.33444444;15.0659881;16.57348187;2.744509;5.603774;7.723279;7.275455;5.643362;32.9081;0;0;0;0;0;126250;0;0;7073.637207;59830.94141;161385.5156;0;0;0;0;0;26.855465;0;0;0;0;0;7524.382812;0;26863.71875;0;0;27464.2207;0;0;220573.6563;1875.949829;549974.9375;6998.213867;0;12.177688;6.079766;3.713936;0.209412;2.699939;6.666256;7.377436;13.774351;16.884092;17.035334;17.371847;13.87603;401.005981;3.894633;3.275814;3.848201;2.822302;3.632759;3.097129;3.486503;2.979401;3.320787;2.666224;2.860915;2.821612;6.35E-05
7;10.116563;54.309674;17.61946533;14.6295614;15.97461145;15.5113555;16.45755558;2.771312;21.482809;10.509097;15.213507;21.799574;28.02807;36250;0;0;1539375;0;4576875;31875;0;9508.3125;61249.29688;134199.1563;7759.107422;0;0;31928.08594;937.601746;74248.01563;3174.211914;0;267.422577;0;0;6977.304688;0;8213.617188;0;0;30495.28906;0;0;184198.8125;768.187256;428739.5313;4142.129395;0;11.966981;6.047022;3.788786;0.732059;2.431989;5.997315;7.057374;13.075539;16.193617;16.489426;16.90667;13.8592;323.703735;4.493063;3.803655;4.59826;3.430305;4.307458;3.71909;4.079073;3.737713;3.994388;3.193913;3.484995;3.406836;4.38E-05
8;10.122364;54.304242;70.08306993;53.7647619;43.71244326;28.18260714;56.70557988;2.769604;17.584509;10.043362;14.185166;17.556995;17.829941;58125;0;0;1519375;0;4268125;2500;0;8481.643555;58855.85156;129681.3125;6917.74707;447.030487;88.525085;29060.39453;1854.377441;69381.63281;3613.97168;209.399506;1669.320557;0;0;7199.179688;91.572922;8978.816406;1137.307129;0;23044.73047;269.867462;9.10287;176717.2813;2896.705078;414701.4375;5581.993164;43.389343;11.961098;6.038601;3.780938;0.723503;2.431751;6.000372;7.054875;13.077626;16.19483;16.487154;16.906002;13.852473;323.294403;4.481;3.793772;4.585758;3.421574;4.297059;3.711402;4.070135;3.729419;3.985202;3.186364;3.477023;3.398247;4.31E-05
9;10.135158;54.304676;52.68856985;38.36990244;28.84816109;24.23133657;41.57470413;2.767282;26.395731;10.417584;15.497952;24.411997;11.160233;45625;0;0;1865625;1250;4488750;22500;0;9497.020508;62611.19922;129810.1406;5988.72998;0;0;28269.45898;1282.389893;60037.80078;2556.374023;0;2689;0;0;7577.068359;0;10390.55664;54.502705;0;27024.55078;623.393677;46.158142;188735.9688;3427.970703;418706.4688;7414.824219;97.396652;11.959908;6.039738;3.780123;0.717459;2.42842;6.000077;7.057378;13.076917;16.197636;16.491152;16.913706;13.854518;323.581696;4.494476;3.808265;4.601618;3.431528;4.306182;3.721778;4.083551;3.745924;3.999305;3.199806;3.491134;3.411958;4.27E-05
10;10.232076;50.048397;27.03344818;20.16637415;20.05001442;17.98021429;23.200499;3.075125;28.632786;6.859903;13.579382;25.606771;234.373947;2500;0;0;1523125;0;2565625;0;0;7147.34375;41015.28906;57449.78125;0;0;0;16311.77539;0;32640.1582;0;0;2579.701416;75.376701;0;12273.13672;596.247131;18877.14258;1034.421509;0;39620.46094;374.031799;56.487595;183477.3906;3731.666748;275100.0938;10495.28516;116.311058;11.080894;4.902529;2.357833;-2.877107;3.263092;7.141693;7.840984;14.452052;18.447577;19.01844;18.774405;13.05314;303.274078;2.813711;2.506641;2.977305;2.477076;2.753176;2.769738;2.312963;1.929452;2.331833;2.308031;2.070633;2.067355;5.12E-05
11;10.23854;51.50758;11.78242821;9.338915746;12.14987034;11.49418758;11.377032;2.927446;3.304234;0.473735;1.031076;3.155516;184.468872;188750;0;0;260625;0;305625;0;0;2356.555176;10887.17188;15366.72461;0;0;0;0;0;0;0;0;2697.255371;0;0;12151.96289;0;19042.82031;347.171997;0;10782.52344;212.056519;0;71752.3125;1622.805786;128685.6406;3084.318604;25.012562;11.023445;4.863945;2.141416;-2.714329;2.129847;6.483337;6.8167;13.647999;17.161104;17.675428;17.429899;12.780405;288.510132;3.411851;2.767987;3.350609;2.442404;3.063258;2.861099;2.756022;2.158822;2.580686;2.423585;2.312666;2.297625;4.25E-05
12;10.240596;54.09323;9.056456432;7.232517007;10.09377286;9.604488095;9.008212992;2.783715;0.001368;0.227516;0.205652;0.021698;43.423237;0;0;0;193125;0;598750;0;0;33.54018;2524.043945;6830.227539;0;0;0;11903.2627;0;23476.38477;0;0;0;0;0;7243.624512;0;12501.34375;0;0;0;0;0;30844.875;0;75415.75;0;0;11.883791;5.897665;3.625337;0.598099;2.526898;6.276338;7.083368;13.288524;16.354349;16.529051;16.966663;13.7266;294.282623;3.820534;3.204111;3.875258;2.926063;3.728805;3.256388;3.540528;3.202024;3.454417;2.723849;2.982357;2.887214;4.33E-05
13;10.306561;47.72514;22.07233673;17.50261224;19.60162019;16.8485;20.11613892;3.301228;13.132953;3.302464;6.154352;11.93857;683.473389;6250;0;0;1491250;0;3540625;0;0;9720.375;45281.92969;64400.60938;0;0;0;799.007263;0;33899.39453;0;0;3866.592041;0;0;26392.62891;783.383606;28609.61133;1738.657593;0;39278.39063;458.412048;72.122017;162002.4531;4007.60791;254095.5469;11544.61328;187.168976;8.811079;1.887135;-2.112526;-6.137875;0.624225;5.493464;5.311714;11.790909;16.854296;16.80574;17.354361;10.425597;229.394409;2.185934;2.160038;2.386152;2.19731;2.06133;2.374777;1.850045;1.771129;1.91773;1.981006;1.494346;1.648956;4.00E-05
14;10.317236;50.978292;14.41919878;9.825639456;14.81095192;13.0354881;13.50572769;2.907152;16.045229;2.688021;5.469054;13.842057;218.795593;76875;0;0;707500;8125;1019375;73750;0;6769.301758;24665.21875;30042.19531;0;0;0;14788.65723;0;36109.71875;0;0;1580.701294;0;0;12406.21191;0;23634.86328;0;0;34802.01563;378.472137;50.312981;113691.9531;3770.226562;156109.9219;10609.64258;126.103226;10.860444;4.576045;2.057393;-3.305453;2.250119;6.285531;6.845676;13.564122;17.35343;17.948156;17.579052;12.480677;284.804657;3.558131;2.988162;3.586426;2.651086;3.254368;3.02867;2.618414;2.118507;2.603935;2.574106;2.32787;2.424961;4.12E-05
15;10.325;49.44406;11.72679394;9.626877761;13.43348011;12.58198454;11.81461048;3.137314;1.293187;0.306086;0.643846;1.291522;364.118408;64375;0;0;899375;0;938125;625;0;708.518982;2396.568604;3837.466309;0;0;0;0;0;2480.962891;0;0;0;0;0;4483.498047;0;18776.76563;0;0;16202.98926;307.291626;49.050522;43383.57031;1920.522339;63272.45313;5511.046875;111.132683;11.091197;4.671321;1.890065;-3.408765;3.361126;7.205479;7.509784;13.996338;18.601727;18.992197;18.971399;12.784392;316.373505;3.026954;2.777941;3.287461;2.784428;2.902642;3.117061;2.449193;2.178593;2.516665;2.565371;2.204746;2.193963;4.47E-05
16;10.375299;50.561754;9.249682451;6.511414702;9.995742718;8.663191748;8.849884781;2.950903;5.407345;1.06808;1.045812;3.831712;450.49939;910625;17500;2500;1048125;108750;1561875;298125;5625;2026.696167;5546.063965;17330.28125;0;0;0;0;0;0;0;0;0;0;0;0;0;3231.965088;0;0;11973.16211;160.750244;0;46563.78516;933.003967;156983.5469;2585.119629;1.799067;10.433948;4.079021;1.247321;-4.133449;1.69903;6.056893;6.899259;13.744098;17.571318;18.07163;17.815184;12.387146;260.630341;2.949425;2.42634;2.89919;2.307429;2.640968;2.627066;2.33542;1.930204;2.302114;2.302319;2.123237;2.111933;3.96E-05
17;10.404232;47.518013;8.243133793;7.654441417;5.200841751;5.102991657;7.107585508;3.12346;1.952001;0.225129;0.307972;1.14101;1170.171021;0;0;0;0;0;15625;0;0;472.367584;1827.174072;4217.987305;0;0;0;0;0;0;0;0;3141.550781;0;0;14098.45508;318.563416;21082.43359;1373.360229;0;2159.905518;178.328094;5.206947;13990.53125;901.624573;38269.61719;1714.947632;66.309036;6.48311;-1.04762;-5.061916;-8.589723;-1.287586;2.366468;2.500255;8.956299;14.345708;14.25739;15.026109;7.941862;163.25592;1.649845;1.5969;1.817671;1.763545;1.572482;1.741615;1.491443;1.406192;1.462275;1.48666;1.193339;1.259519;2.69E-05
18;10.42275;51.61365;25.62380039;20.50267529;20.06317965;17.57028871;22.55738956;2.854205;1.019166;0.269576;0.398931;0.878278;273.341827;0;0;0;165000;0;171250;0;0;1476.945923;5191.802734;8650.611328;81.126091;0;0;15364.61426;0;25483.12109;0;0;0;0;0;2043.758667;0;4193.159668;0;0;14091.99414;389.226013;51.169037;49057.34375;2647.013428;94469.57031;5512.504395;138.603714;10.796964;4.588046;1.715547;-3.108755;1.55841;6.266329;6.637782;13.541561;17.006964;17.451082;17.314341;12.702924;259.096344;3.563785;2.851324;3.510933;2.508481;3.131043;2.945579;2.923066;2.27502;2.727426;2.507139;2.443615;2.374048;3.89E-05
19;10.448432;51.205226;32.01518539;20.52392517;20.97520482;15.30599761;25.6064559;2.968;7.848123;1.640136;3.443985;7.3983;216.536835;0;0;0;1371875;0;1896250;0;0;5419.462402;22177.1875;27465.29883;0;0;0;0;0;0;0;0;2197.661377;179.702881;58.194183;15850.33887;728.587219;24436.46094;1164.458496;96.448662;31737.16016;345.82132;1.109978;131664.4688;2821.472168;187540.3438;9044.702148;20.11319;10.961092;4.765389;2.203731;-2.702567;2.168754;6.315724;6.869032;13.622506;17.303452;17.86194;17.547508;12.679298;273.366638;3.683534;3.101352;3.687275;2.664022;3.329617;3.112316;2.878213;2.212636;2.702213;2.655115;2.400009;2.428398;3.98E-05
20;10.450997;51.207944;16.32838415;11.68581633;15.04080288;13.21294048;14.84080963;2.968;9.135498;1.592724;3.4822;8.426563;219.097641;0;0;0;1429375;0;1887500;0;0;5684.494629;22593.53906;26986.25586;0;0;0;0;0;0;0;0;2075.828613;0;0;16306.18652;377.635742;24825.73828;874.350342;0;34030.13672;449.975739;25.591236;134483.2969;3972.885254;178225.625;8612.208008;103.795731;10.956742;4.762191;2.199993;-2.699663;2.16478;6.311998;6.861809;13.616272;17.294954;17.853966;17.540947;12.674054;272.851501;3.684882;3.102517;3.688583;2.664159;3.330208;3.11307;2.881768;2.214498;2.703863;2.65619;2.401231;2.428527;3.97E-05
21;10.45591;52.15369;17.1179949;13.34815825;16.49454004;14.35040897;15.98790953;2.893058;2.219571;8.08791;7.015236;2.445322;92.899216;75625;3750;0;3290625;36250;11730625;39375;0;742.816467;10813.26758;39380.87109;0;0;0;7379.64502;0;40094.72656;0;0;2018.609985;157.345871;0;15241.66602;597.231384;22973.50195;1011.248535;0;3794.214844;169.327927;76.260864;40610.28125;584.746887;149502.4375;1441.222778;126.652954;12.27599;5.933694;3.265344;-0.912303;2.883917;7.323104;7.628625;14.26125;17.618952;18.154161;18.119095;13.771568;376.098633;3.994722;3.279765;3.949982;2.678647;3.475799;3.123361;3.25405;2.496517;2.958816;2.595739;2.597536;2.619354;0.000051332
22;10.4565;53.24696;17.27430881;12.56425749;17.80660256;13.24859396;16.12049137;2.795137;9.440699;3.512644;4.311419;9.187501;49.730209;787500;3125;0;2156875;118125;3840000;283125;0;4715.109863;24816.60938;56527.67969;7884.335449;0;0;23663.24023;337.782043;35484.08203;1814.681396;0;181.678253;0;0;1073.161011;0;5552.71875;0;0;12059.14941;151.451294;0;110745.125;723.241638;308216.625;2388.255127;0;12.237286;5.973217;3.662498;-0.381183;2.703472;6.85839;7.54346;14.051601;17.293869;17.420563;17.656015;13.935707;324.494751;3.856759;3.238203;3.830678;2.760596;3.52068;3.062607;3.370885;2.808855;3.187949;2.613253;2.806655;2.763868;4.49E-05
23;10.47364;52.22694;13.95162636;10.62661224;15.06507154;13.2747769;13.51893448;2.891;1.408327;3.802458;2.953646;1.649142;103.611168;0;0;0;285625;0;2061250;0;0;1699.768311;22096.33203;62922;0;0;0;18522.19531;0;61211.62109;0;0;0;0;0;1038.010376;0;14466.79492;0;0;9805.375;0;0;91568.74219;25.20023;280166.4688;677.007019;0;12.234646;5.909369;3.317882;-0.779321;2.903056;7.273993;7.58486;14.206046;17.54698;18.054918;18.031471;13.703241;387.594879;3.911439;3.208481;3.857111;2.600351;3.413226;3.05476;3.215646;2.472201;2.908085;2.55071;2.559775;2.564116;5.12E-05
24;10.48132;51.90158;11.29124861;8.649323672;8.746608187;7.294588859;9.801523784;2.812778;4.744555;1.872529;2.253393;4.360352;211.058548;399375;0;0;1264375;17500;1436875;95625;0;4051.955811;14040.27246;32378.79883;0;0;0;6160.696777;0;27739.33203;0;0;2284.144531;191.743881;0;6900.54834;607.905212;23821.20898;1139.902588;48.473358;17535.61328;139.877701;58.665779;66866.85938;1999.0448;199396.7969;6238.379883;89.030632;10.481942;4.280684;1.390505;-3.017864;1.011999;5.695787;5.983582;12.805594;16.282154;16.712599;16.652876;12.159058;268.92981;3.820163;3.034836;3.785667;2.602689;3.26444;3.052181;3.093275;2.384246;2.89994;2.559403;2.552481;2.53089;3.84E-05
25;10.54055;52.26673;42.48789385;31.38800833;26.44962234;21.15947791;34.52371616;2.876127;16.759285;8.083511;12.505239;17.584633;84.02462;2500;0;0;1277500;0;3371875;0;0;7619.430664;56865.37891;120655.9141;0;0;0;10587.7832;0;73277.64844;0;0;4141.280273;373.762482;121.077057;22395.40625;1204.13623;28894.25195;1971.072266;185.288391;39509.54688;412.438904;18.349804;220261.3125;4434.568359;444145.9375;12041.44531;110.464439;12.208641;5.88579;3.319458;-0.748907;2.863681;7.233604;7.592067;14.199255;17.541607;18.023397;18.023123;13.692611;373.496216;3.830869;3.130275;3.776356;2.536918;3.339331;2.992885;3.18522;2.452073;2.870305;2.508523;2.526114;2.510492;5.22E-05
26;10.572297;49.304889;37.99016561;26.56782993;27.39006731;21.87166667;31.75555456;3.126703;15.930489;2.285994;4.619153;13.507811;406.165802;60625;0;0;810625;0;1241875;0;0;5674.21875;20060.07031;26552.12305;0;0;0;0;0;0;0;0;4439.227539;379.901215;100.65313;16280.04883;1232.179932;23959.5957;1987.311035;178.294342;34637.88281;241.845352;33.805153;134565.2969;1862.915527;189829.25;8189.133301;83.28302;10.954312;4.48081;1.671901;-3.726341;3.136334;7.069642;7.413182;13.935674;18.685869;18.977404;19.005375;12.622673;318.309814;2.930959;2.663518;3.142881;2.691309;2.739867;3.033579;2.443318;2.140416;2.447476;2.491358;2.126352;2.108542;4.94E-05
27;10.59772;48.95218;14.32767313;11.67091899;17.69742761;16.20390476;14.80263594;3.166495;7.205743;0.63903;1.55569;5.992849;420.195953;118125;0;0;726250;0;726250;0;0;1992.238281;4268.888672;7221.189453;0;0;0;0;0;0;0;0;2029.961182;0;0;6349.938965;0;10418.98828;0;0;22720.23047;205.321609;25.677744;52723.46094;2147.254395;103529.25;6556.395508;73.08989;10.762551;4.329541;1.411316;-4.378333;2.925884;7.033953;7.531898;13.905239;18.972755;19.104465;19.1696;12.691479;327.138275;2.792767;2.604389;2.980657;2.584597;2.596061;2.960739;2.486548;2.097289;2.416362;2.401353;2.007209;2.020221;4.79E-05
28;10.61248;51.75816;6.014269788;5.012482947;5.647735546;5.09091623;5.648244755;2.771794;0;0.179522;0.109089;0;940.373901;0;0;0;5625;0;13125;0;0;123.120697;573.041504;3753.81543;0;0;0;803.724609;0;6351.803711;0;0;0;0;0;1221.376953;0;14921.28711;0;0;0;0;0;6546.740234;0;31595.10938;0;0;9.586528;3.484869;0.664699;-3.605765;0.458623;4.998083;5.036902;11.926233;15.446162;15.826064;15.818924;11.139365;216.049515;3.740003;2.987586;3.746989;2.517842;3.172467;3.003597;3.059377;2.313724;2.831851;2.518274;2.497901;2.456019;0.000032379
29;10.618275;51.798629;3.923051695;3.045534377;3.616592878;2.986284349;3.593723217;2.787889;0.262688;0.036467;0.016482;0.147799;1134.345703;0;0;0;0;0;0;0;0;125.484444;126.036133;847.020386;0;0;0;0;0;0;0;0;0;0;0;0;0;787.999512;0;0;0;0;0;0;0;2934.527344;0;0;9.56711;3.467334;0.641588;-3.586051;0.409167;4.931325;4.972168;11.852217;15.37783;15.766406;15.757936;11.109846;219.855255;3.768871;3.004149;3.779531;2.535798;3.185545;3.01681;3.081809;2.329763;2.855204;2.521804;2.512538;2.480832;3.39E-05
30;10.664881;53.87453;37.70160562;30.9580068;27.53482376;22.25314286;32.52516609;2.811368;16.023867;7.774101;10.798458;14.594932;16.803862;5625;0;0;1796250;0;5312500;0;0;7798.769043;55121.62109;107873.1875;5544.525879;0;0;16192.80176;0;33803.19141;0;0;7526.241699;200.237198;57.106949;23232.47852;923.886475;40794.86719;2457.960205;93.512337;24848.67188;109.028091;0;193908.5313;1476.121826;377367.875;7916.144043;0;11.973731;5.992115;3.631998;0.195148;2.440771;6.426033;7.248057;13.49593;16.68819;16.846922;17.398153;13.870138;307.01889;4.236376;3.615231;4.291328;3.201473;3.956918;3.424045;3.793535;3.3356;3.665743;2.95157;3.201496;3.171369;5.33E-05
31;10.668641;50.653245;14.88137797;11.41543907;16.29292788;13.35341667;14.41176232;2.83349;9.795706;1.666337;2.618886;8.121476;494.324097;54375;0;0;1341250;0;1841875;0;0;2996.199219;9384.149414;17232.25195;0;0;0;15435.50781;0;24376.74219;0;0;2237.59668;22.908171;0;6549.911133;469.429688;8286.412109;1115.119019;0;22156.7207;761.902039;52.870453;54399.31641;3911.334229;137835.5625;9092.585938;184.617172;9.521862;3.169389;0.355212;-5.086632;0.70402;5.051511;5.586643;12.526791;16.34831;16.854301;16.749121;11.212116;237.526642;3.146068;2.58117;3.12333;2.393033;2.763287;2.745797;2.414314;1.970232;2.409718;2.404297;2.243926;2.22446;3.79E-05
32;10.67332;53.862237;30.70436639;23.75238776;24.22943187;20.21179976;26.83923685;2.806214;19.173674;8.077641;11.031623;17.968613;10.16275;153750;0;0;2266250;10625;5441250;58125;0;7623.398926;57468.10938;109520.0547;0;0;0;10711.73633;0;42262.05859;0;0;4587.15918;314.607727;70.754814;28801.91406;905.108826;39453.41797;1794.875;136.38623;27588.36523;295.473358;0;196243.3125;2498.077637;393016.8125;8311.960938;18.851679;11.971043;5.984183;3.625571;0.178201;2.439041;6.437747;7.252205;13.509969;16.696091;16.855299;17.406481;13.866205;307.063751;4.218346;3.596393;4.26961;3.184702;3.93858;3.409772;3.778843;3.318394;3.649776;2.939354;3.187561;3.156511;5.24E-05
33;10.693092;50.61153;34.56991439;22.46096049;22.44143269;17.04479762;27.7066545;2.85891;8.184977;2.454316;3.97402;7.718614;433.470673;10625;0;0;774375;0;3138750;0;0;5624.871582;17941.03516;28616.17969;0;0;0;11692.20703;0;41425.62891;0;0;0;0;0;0;0;3296.31543;0;0;32781.30469;755.174683;80.616974;126535;3161.644287;185829.1875;8490.658203;242.669449;9.58944;3.237985;0.39252;-4.976067;0.826999;5.12847;5.750034;12.695712;16.511578;17.012938;16.89843;11.345632;237.206711;3.081852;2.543231;3.065785;2.353509;2.731978;2.715806;2.398479;1.954575;2.38558;2.389615;2.227898;2.192638;3.66E-05
34;10.695936;53.835492;13.80680111;10.60309946;13.94936477;12.42986905;13.09937956;2.803812;12.218112;5.174301;5.625757;10.098574;15.377806;625;0;0;1650625;0;2136250;625;0;4255.746582;27148.38867;74168.71875;0;0;0;2816.64209;0;16145.37305;0;0;1688.022949;0;0;12934.19531;0;26852.56445;0;0;15427.56641;136.632156;0;117068.2969;1667.207764;313831.6563;5614.084961;0;11.962408;5.963631;3.609249;0.137871;2.434231;6.462905;7.259016;13.540769;16.713631;16.871733;17.424177;13.85506;305.989349;4.178305;3.554456;4.221846;3.148723;3.898967;3.379708;3.746988;3.281177;3.615038;2.912904;3.157442;3.123961;4.97E-05
35;10.756733;52.800773;6.528772237;5.1;7.396407915;7.333635236;6.539858686;2.847117;0;0.000314;0;0;74.73011;0;0;0;1250;0;27500;0;0;3.22454;181.597137;823.880127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11039.37598;0;40222.125;0;0;12.247842;5.837562;3.463471;-0.642267;2.668326;7.13485;7.733391;14.296535;17.55825;17.875366;18.000797;13.937806;306.351807;3.675161;3.038432;3.628856;2.54996;3.259229;2.913871;3.176852;2.573915;2.966447;2.467266;2.642959;2.576619;4.13E-05
36;10.769534;50.654066;5.080335097;3.428575478;4.245494726;3.368411911;4.403902397;2.824931;0;0.28734;0.121693;0;928.570068;0;0;0;0;0;170625;0;0;422.579346;524.063782;2349.157227;0;0;0;0;0;14.474264;0;0;0;0;0;0;0;0;0;0;3945.453613;73.622963;0;16914.28906;731.688477;62154.19922;1576.944824;0;9.382216;3.014872;0.177558;-5.247262;0.600933;4.921292;5.396502;12.381153;16.204514;16.703161;16.667175;11.037675;225.32576;3.191581;2.630681;3.187318;2.414468;2.795557;2.78078;2.445415;1.984985;2.446237;2.440152;2.283971;2.257076;3.76E-05
37;10.775796;53.698939;42.04064516;30.7405042;24.68586006;23.17977941;33.95987274;2.807405;2.341286;0.332992;0.760235;1.976428;17.58567;0;0;0;0;0;0;0;0;1923.39978;11582.99609;13288.4082;0;0;0;0;0;0;0;0;2574.784668;220.466125;25.056623;8966.164062;838.910767;20034.60938;1433.77124;75.210663;10431.38379;344.411835;25.011162;78115.1875;3171.070312;112248.1328;4698.423828;75.036156;11.961346;5.937552;3.586191;0.007952;2.422308;6.548862;7.285457;13.635162;16.771389;16.948101;17.477968;13.821165;266.742188;4.02439;3.415262;4.047966;3.000774;3.726926;3.237447;3.596745;3.119335;3.456118;2.798306;3.024489;2.996741;4.46E-05
38;10.787135;50.619181;5.080335097;3.428575478;4.245494726;3.368411911;4.403902397;2.830008;0.060733;0.178371;0.162095;0.04628;895.202515;0;0;0;8125;0;8125;0;0;0;1504.770996;2889.886963;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2212.278809;0;0;28002.93555;0;71058.49219;259.318573;0;9.373172;3.014966;0.151647;-5.196251;0.676803;4.954316;5.459601;12.456635;16.279293;16.762032;16.742479;11.066014;225.408081;3.129981;2.592043;3.128698;2.378274;2.766872;2.751905;2.42857;1.972524;2.424021;2.427155;2.269008;2.22861;3.74E-05
